EP Site ID,Latitude,Longitude
PH-ZMB-01160,14.82786667,120.28205
PH-NUE-00701,15.48715,120.9641667
PH-BUL-00937,15.01886667,120.93595
PH-PAM-00922,15.03208333,120.6895333
PH-TAR-00710,15.4796,120.5962167
PH-BUL-00991,14.962064,120.897851
PH-TAR-02470,15.313181,120.641132
PH-TAR-00617,15.65276667,120.5746
PH-BUL-01206,14.76836667,120.954801
PH-TAR-00580,15.762941,120.584436
PH-TAR-00738,15.392389,120.596508
PH-TAR-00631,15.6136,120.4420167
PH-BUL-01034,14.92305,121.02455
PH-PAM-00882,15.092428,120.623209
PH-PAM-00972,14.977093,120.527505
PH-ZMB-02718,15.326826,119.980179
PH-PAM-03182,15.06691667,120.7204833
PH-PAM-00963,14.98472611,120.7593289
PH-BUL-01135,14.84298333,120.81245
PH-TAR-02715,15.68966667,120.4131
PH-BUL-01187,14.795577,120.878126
PH-BUL-00836,15.15413333,120.9763167
PH-PAM-00909,15.0517,120.66635
PH-BUL-01186,14.79823333,120.930001
PH-BUL-01134,14.84318333,120.737401
PH-BUL-01051,14.90173333,120.8391167
PH-BUL-01170,14.81491667,120.946101
PH-PAM-02686,15.107339,120.772468
PH-BUL-01143,14.83948333,120.8609167
PH-TAR-00782,15.2719,120.5609667
PH-TAR-00764,15.318508,120.583283
PH-TAR-00655,15.575655,120.685096
PH-TAR-00633,15.61033333,120.5970667
PH-NUE-02448,15.260986,120.864187
PH-BAN-02566,14.540261,120.588176
PH-NCR-01715,14.59478,121.031852
PH-ZMB-02396,14.86608333,120.2378667
PH-ZMB-00974,14.97645,120.15295
PH-NCR-01413,14.674023,120.945554
PH-BUL-02512,14.89933333,121.0438333
PH-BUL-00797,15.22224,120.95324
PH-PAM-00814,15.17788333,120.6035167
PH-PAM-00839,15.15078,120.56293
PH-ZMB-02455,15.53335,119.95615
PH-PAM-00826,15.16385,120.5897333
PH-PAN-02398,16.30967,120.016615
PH-KAL-00127,17.46948333,121.4577333
PH-CAV-03178,14.142746,120.855836
PH-CAV-03174,14.259506,120.91478
PH-NCR-01462,14.661846,120.968751
PH-ILI-03162,11.46813965,123.1473465
PH-CAP-03142,11.51479,122.76185
PH-NCR-01769,14.579314,121.035726
PH-NCR-01454,14.663448,120.984339
PH-NCR-01475,14.65678,120.98327
PH-NCR-01606,14.619004,120.981672
PH-NCR-01629,14.614171,120.983966
PH-NCR-01817,14.56105,120.99419
PH-NCR-01617,14.616991,120.970236
PH-NCR-01631,14.614,120.9653167
PH-NCR-01655,14.60744,120.98457
PH-NCR-01666,14.605704,120.993096
PH-NCR-01569,14.628571,120.973675
PH-NCR-01632,14.613847,121.003187
PH-NCR-01646,14.609941,120.99674
PH-NCR-01752,14.584265,120.984191
PH-NCR-02369,14.579688,120.998856
PH-NCR-01685,14.60253,120.96317
PH-NCR-01650,14.609394,120.962568
PH-NCR-02635,14.608566,120.979081
PH-NCR-01790,14.574693,121.010866
PH-NCR-01796,14.571864,120.993141
PH-NCR-01807,14.56661667,121.00205
PH-NCR-02392,14.57648333,121.0405833
PH-NSA-03218,12.54901,125.114272
PH-NSA-03220,12.56375027,124.9291077
PH-PAM-00976,14.975872,120.480465
PH-NCR-02504,14.64943,121.12655
PH-NCR-01664,14.60597,121.03276
PH-RIZ-01866,14.50701,121.1911
PH-RIZ-01787,14.57527,121.11567
PH-RIZ-01770,14.57927,121.12777
PH-NCR-01374,14.688001,121.001432
PH-NCR-01392,14.68178333,120.98165
PH-NCR-01277,14.724336,121.002821
PH-NCR-01730,14.58961,121.00087
PH-NCR-01300,14.7146,120.960182
PH-NCR-01314,14.708187,120.959435
PH-NCR-01403,14.677777,120.993055
PH-NCR-01355,14.692348,120.986636
PH-NCR-01399,14.679143,120.961759
PH-NCR-01339,14.697942,121.010832
PH-NCR-01383,14.6850716,121.076752
PH-RIZ-01687,14.60241,121.11949
PH-NCR-01382,14.6853644,121.1028874
PH-RIZ-01297,14.71637,121.14215
PH-RIZ-01372,14.6888,121.1296
PH-RIZ-02480,14.73152,121.13226
PH-NCR-01483,14.65447,121.11407
PH-RIZ-01459,14.66251,121.15205
PH-RIZ-01612,14.61799,121.13755
PH-NCR-01673,14.60395,121.04026
PH-RIZ-01255,14.73374,121.1524
PH-NCR-02207,14.6855959,121.0417824
PH-NCR-01321,14.705293,121.046249
PH-NCR-02510,14.7080775,121.0298425
PH-NCR-01286,14.720578,121.019403
PH-NCR-01276,14.724478,121.033988
PH-NCR-01239,14.742391,121.004504
PH-NCR-01618,14.616813,120.995363
PH-NCR-02209,14.662084,121.036363
PH-NCR-01653,14.60792,120.98817
PH-RIZ-01912,14.32788,121.30895
PH-NCR-02358,14.6402605,121.0737972
